address,freq,cleaner,04 Aug 2019
2 Dalziel Place,Monthly,Eric
8 Forbes Road,Monthly,Eric
112 Bruntsfield Place,B_week,Eric
145 Bruntsfield Place,B_week,Eric
12 Cheyne Street,Monthly,Eric
123 Lauriston Place,_4weekly,Eric
21 Comely Bank Avenue,B_week,Eric
11 Comely Bank Road,B_week,Eric
6 Muireston Terrace,B_week,Eric
94 Polwarth Gardens,B_week,Eric
15 Leopold Place,_4weekly,Eric
13 Bruntsfield Avenue,B_week,Eric
59 Thistle Street,_3weekly,Eric
14 Dumbiedykes Road,_3weekly,Eric
1A Glencairn Crescent,B_week,Eric
6 Parkhead Terrace,B_week,Eric
15 Douglas Crescent ,Monthly,Eric
87 Morrison Street,B_week,Eric
5 Edina Place,Monthly,Eric
16 Hillside Crescent,B_week,Eric
108 Hanover Street,weekly,Eric
48 Eyre Place,weekly,Eric
18 Viewforth,Monthly,Eric
36D Murrayfield Road,B_week,Eric
45 South Clerk Street,_3weekly,Eric
11 McDowell Road,B_week,Eric
38 Comely Bank Street,Monthly,Eric
12 Sloan Street ,Monthly,Eric
19 Ardmillan Terrace,B_week,Barbara Bernetek
1 Ritchie Place,weekly,Barbara Bernetek
8 Hermand Street,B_week,Barbara Bernetek
37 Bryson Road,weekly,Barbara Bernetek
8 Ritchie Place,weekly,Barbara Bernetek
7 Ritchie Place,weekly,Barbara Bernetek
10 Ritchie Place,weekly,Barbara Bernetek
35 Bryson Road,weekly,Barbara Bernetek
33 Bryson Road,weekly,Barbara Bernetek
50 Balcarres Street,weekly,Calum Compton
49 Balcarres Street,weekly,Calum Compton
42 Balcarres Street,weekly,Calum Compton
32 Balcarres Street,weekly,Calum Compton
62 Balcarres Street,B_week,Calum Compton
36 Watson Crescent,weekly,Calum Compton
38 Watson Crescent,weekly,Calum Compton
40 Watson Crescent,weekly,Calum Compton
31 Watson Crescent,weekly,Calum Compton
30 Watson Crescent,weekly,Calum Compton
29 Watson Crescent,weekly,Calum Compton
11 Merchiston Grove,weekly,Szilvia Halo
6 Robertson Avenue,weekly,Szilvia Halo
16 Moat Terrace,weekly,Szilvia Halo
10 Moat Terrace,weekly,Szilvia Halo
82 Harrison Gardens,B_week,Szilvia Halo
22 Moat Terrace,weekly,Szilvia Halo
28 Moat Terrace,weekly,Szilvia Halo
3 Appin Terrace,B_week,Szilvia Halo
4 Muirieston Road,weekly,Barbara Bernetek**
5 Shandon Place,B_week,Barbara Bernetek**
2 Muirieston Place,weekly,Barbara Bernetek**
2 Henderson Terrace,B_week,Barbara Bernetek**
3 Hermand Crescent,weekly,Barbara Bernetek**
6 Hermand Crescent,weekly,Barbara Bernetek**
9 Hermand Crescent,weekly,Barbara Bernetek**
2 Merchiston Grove,weekly,Barbara Bernetek**
53 Slateford Rd,weekly,Barbara Bernetek**
4 Merchiston Grove,weekly,Barbara Bernetek**
63 Slateford Road,B_week,Barbara Bernetek**
